company,text,class
amazon,Notificação de Privacidade da Amazon,0
amazon,Última atualização: 29 de junho de 2022.,0
amazon,Controladores de informações pessoais,0
amazon,Quais informações pessoais sobre clientes a Amazon coleta?,1
amazon,Para quais finalidades a Amazon trata suas informações pessoais?,2
amazon,E os cookies e outros identificadores?,10
amazon,A Amazon compartilha suas informações pessoais?,5
amazon,Quão seguras são as informações sobre mim?,7
amazon,E a publicidade?,0
amazon,Quais informações posso acessar?,9
amazon,Que opções eu tenho?,9
amazon,Crianças podem usar os Serviços da Amazon?,3
amazon,Por quanto tempo mantemos suas informações pessoais?,12
amazon,"Contatos, Notificações e Revisões",11
amazon,Práticas e informações relacionadas,0
amazon,Exemplos de informações coletadas,1
caixa,Aviso de Privacidade,0
caixa,1. O que é este Aviso de Privacidade,0
caixa,Lei Geral de Proteção de Dados Pessoais (LGPD),0
caixa,Tratamento de dados pessoais,0
caixa,Dado pessoal,0
caixa,Dado pessoal sensível,0
caixa,Titular,0
caixa,2. Como a CAIXA obtém seus dados pessoais,4
caixa,Diretamente de você:,0
caixa,De outras fontes:,0
caixa,Dos seus dispositivos digitais (celular ou computador):,0
caixa,Utilizamos tecnologias de marketing digital,0
caixa,O que são cookies?,10
caixa,3. Para quais finalidades a CAIXA utiliza os seus dados pessoais,2
caixa,4. Como a CAIXA protege os seus dados pessoais,7
caixa,Fique atento aos e-mails. A CAIXA só envia mensagens quando:,0
caixa,5. Por quanto tempo a CAIXA guarda os seus dados pessoais,12
caixa,6. Quando e com quem a CAIXA compartilha seus dados pessoais,5
caixa,7. Quais são os seus direitos como Titular de Dados Pessoais,9
caixa,Confirmação do tratamento,0
caixa,Acesso,0
caixa,Correção,0
caixa,Eliminação dos dados tratados com o seu consentimento,0
caixa,Informação sobre compartilhamento,4
caixa,Portabilidade,0
caixa,Consentimento,0
caixa,Decisões automatizadas,6
caixa,Revisão de tratamento de dados,0
caixa,Oposição,0
caixa,Você pode exercer todos esses direitos entrando em contato conosco:,11
caixa,8. Dúvidas sobre o Aviso de Privacidade,0
caixa,Aviso sobre  cookies,10
tiktok,Política de Privacidade,0
tiktok,RESUMO,0
tiktok,Que informações coletamos sobre você?,1
tiktok,Como vamos usar as informações sobre você?,2
tiktok,Com quem compartilhamos suas informações?,4
tiktok,Por quanto tempo mantemos suas informações?,12
tiktok,Como iremos notiﬁcá-lo de quaisquer alterações nesta Política de Privacidade?,14
tiktok,Os tipos de dados pessoais que usamos,1
tiktok,Cookies,10
tiktok,Como usamos seus dados pessoais,2
tiktok,Como compartilhamos seus dados pessoais,4
tiktok,Onde armazenamos seus dados pessoais,12
tiktok,Seus Direitos e Escolhas,9
tiktok,A segurança dos seus dados pessoais,7
tiktok,Por quanto tempo mantemos seus dados pessoais,12
tiktok,Informações sobre crianças,3
tiktok,Reclamações,0
tiktok,Alterações,14
tiktok,Contato,11
tiktok,Termos Suplementares - Especíﬁcos da Jurisdição,0
tiktok,Brasil ,0
whatsapp,Política de Privacidade do WhatsApp,0
whatsapp,Informações legais do WhatsApp,0
whatsapp,Atualizações importantes,0
whatsapp,Informações que coletamos,1
whatsapp,Dados de terceiros,0
whatsapp,Como usamos as informações,2
whatsapp,Informações que você e nós compartilhamos,5
whatsapp,Como trabalhamos com outras Empresas da Meta,5
whatsapp,"Cessão, alteração no controle e transferência",0
whatsapp,Gerenciamento e manutenção dos seus dados,0
whatsapp,"Lei, nossos diretos e proteção",0
whatsapp,Nossas operações globais,13
whatsapp,Atualizações da nossa Política,14
twitter,Política de Privacidade Twitter,0
twitter,Informações que você compartilha conosco,1
twitter,Informações Adicionais que Recebemos Sobre Você,1
twitter,Informações que Compartilhamos e Divulgamos,5
twitter,Gerenciando Suas Informações Pessoais Conosco,0
twitter,Crianças e Nossos Serviços,3
twitter,Nossas Operações Globais e o Privacy Shield,0
twitter,Alterações a Esta Política de Privacidade,14
spotify,Política de Privacidade do Spotify,0
spotify,1. Sobre esta Política,0
spotify,2. Direitos e controles dos seus dados pessoais,9
spotify,3. Dados pessoais que coletamos sobre você,1
spotify,4. Nosso objetivo ao usar seus dados pessoais,2
spotify,5. Compartilhamento dos seus dados pessoais,5
spotify,6. Retenção de dados,12
spotify,7. Transferência para outros países,13
spotify,8. Como protegemos dos seus dados pessoais,7
spotify,9. Crianças,3
spotify,10. Mudanças nesta Política,14
spotify,11. Como entrar em contato com a gente,11
skype,Dados pessoais que recolhemos,1
skype,Como utilizamos os dados pessoais,2
skype,Razões por que partilhamos dados pessoais,5
skype,Como aceder e controlar os seus dados pessoais,0
skype,Cookies e tecnologias semelhantes,10
skype,Produtos fornecidos pela sua organização: aviso para os utilizadores finais,0
skype,conta Microsoft,0
skype,Recolha de dados de menores,3
skype,Outras informações importantes sobre privacidade,0
skype,Produtos para empresas e programadores,0
skype,Produtos de produtividade e comunicações,0
skype,"Pesquisa, Microsoft Edge e inteligência artificial",0
skype,Windows,0
skype,Entretenimento e serviços relacionados,0
nestle,Política de Privacidade,0
nestle,ESCOPO DESTA POLÍTICA,0
nestle,1.  QUEM SOMOS,0
nestle,2.  O QUE VOCÊ PRECISA SABER ANTES DE LER ESSE AVISO?,0
nestle,3.  FONTES DE DADOS PESSOAIS,1
nestle,4.  DADOS PESSOAIS QUE COLETAMOS A SEU RESPEITO E COMO NÓS OS COLETAMOS,1
nestle,5.  COMO UTILIZAMOS SEUS DADOS PESSOAIS?,2
nestle,"6.  COOKIES/TECNOLOGIAS SIMILARES, ARQUIVOS DE LOG E WEB BEACONS",10
nestle,7.  COM QUEM COMPARTILHAMOS SEUS DADOS PESSOAIS?,5
nestle,8.  ARMAZENAMENTO DE DADOS PESSOAIS,12
nestle,9.  SEUS DIREITOS,9
nestle,10.  COMO MANTEMOS SEUS DADOS PESSOAIS SEGUROS?,7
nestle,11.  SUAS ESCOLHAS SOBRE COMO NÓS USAMOS E DIVULGAMOS SEUS DADOS PESSOAIS,2
nestle,12.  ALTERAÇÕES DA NOSSA POLÍTICA,14
nestle,13.  CONTATO,11
mercado_livre,"Sua privacidade, seus direitos e o nosso compromisso",9
mercado_livre,Usamos seus dados para criar ferramentas que facilitam o seu dia a dia. Explicaremos aqui o que fazemos com os seus dados.,2
mercado_livre,Somos transparentes,0
mercado_livre,Criamos valor,0
mercado_livre,Trabalhamos com qualidade,0
mercado_livre,Protegemos seus dados,7
mercado_livre,Digite seu endereço,0
mercado_livre,  ,0
mercado_livre,Categorias Ofertas do dia Vender Contato Crie a sua conta Entre Compras,0
mercado_livre,Processamos dados por tempo limitado,0
mercado_livre,Você pode acessar nossa declaração de privacidade completa para mais detalhes.,0
mercado_livre,Controle sua conta,0
mercado_livre,Revise ou altere seus dados,0
mercado_livre,Conﬁgure opções de segurança,7
mercado_livre,Exerça os direitos sobre seus dados,9
mercado_livre,Administre suas preferências de publicidade,0
mercado_livre,Direitos e Responsabilidades,9
mercado_livre,Termos e condições de uso do site,0
mercado_livre,Declaração de privacidade,0
mercado_livre,O que acontece se eu fornecer informações falsas?,0
mercado_livre,Uso dos seus dados,2
mercado_livre,Dados que coletamos,1
mercado_livre,O que fazemos com seus dados,2
mercado_livre,Desativar cookies,10
mercado_livre,Conﬁguração de e-mails,0
mercado_livre,Seus dados em todas as nossas plataformas,0
mercado_livre,Você pode ver mais detalhes sobre o uso das nossas plataformas nos Termos e Condições.,0
mercado_livre,Criamos sua experiência com as suas informações,0
